,rep_1,rep_2,rep_3,rep_4,rep_5,rep_6,rep_7,rep_8,rep_9,rep_10,mean_importance,std_importance
Hc,2476.077588403659,2672.655215114969,2736.520545032789,2719.3980055489733,2570.7025048194214,2646.4754424214357,2776.378731669249,2670.2703333937707,2726.484611411637,2618.569980173271,2661.3532957989173,84.43690311156642
δQN,894.957038202118,954.7258167416481,961.7777415616143,966.7608006584366,935.2320839531961,956.6163379586251,986.0536100955567,912.603062334668,1010.5564313060338,902.1681407580978,948.1451063569996,35.14615692955518
Al,792.3849634953556,832.7735770160958,849.2955816896138,856.9732786431198,821.7660595581074,837.7407077561973,865.5095257091494,805.2416817133378,882.6890907111485,799.6321247349035,834.400659102703,28.335080958331265
δχAbs,735.6923588361989,772.974844947121,805.7589852320493,816.2324080316426,777.1706064006735,777.4463800230002,788.2835518870095,784.981197458337,784.7773198335759,757.3062975635123,780.0623950213121,21.528066721759703
Hf,527.0178051573049,544.7225798692116,557.0353051751936,587.8679595872271,515.8635063139077,540.5890040158095,549.6361479207973,546.1119443728082,571.0680242600807,536.1043483516502,547.6016625023992,19.71815734330879
χP,477.94706545349044,464.3311905194423,498.12429354518446,500.9251162733838,462.96903194638645,483.8098149444445,505.1268226504916,500.83818339474055,499.7484234000667,483.4661638474061,487.72861059750375,14.80179923434997
Mc,470.4164151162052,469.656786038734,482.40435178918614,493.5900006379773,482.21807584400796,503.4941522407853,499.1945863277453,484.29156471831465,466.08710240088385,471.3982075219865,482.2751242635826,12.445234310443537
Ni,460.8579014977189,467.56123434283245,472.16772689456536,440.11529560601383,461.912383988657,476.7357107575892,468.3909363155317,450.06672890684956,468.8269719512321,482.9539946459137,464.95888849069036,11.887294787833365
δχM,281.769843631923,284.9653513715575,287.6839626265916,300.0743449007623,296.81015181069336,302.22688614827496,290.7931728862451,302.06229642161475,290.81855885937796,281.78535467765295,291.89899233346927,7.576485750397934
D,284.1101625678394,291.3427203908326,310.4092542086067,300.679327645698,277.42056417655016,304.0600271611064,301.08866985769436,289.93318374052166,282.47878997199376,267.9453708198524,290.94680705406955,12.569722530575564
